Known As,Full Name,Overall,Potential,Value,Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage,Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating
Koldo Obieta,Koldo Obieta Alberdi,64,64,600000,ST,ST,Spain,https://cdn.sofifa.net/players/262/490/23_60.png,28,187,82,1476,309,Miedź Legnica,1000,810000,SUB,2024,11,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,45,67,49,55,23,70,37,69,75,57,56,48,38,43,40,62,44,45,54,59,50,69,71,56,86,62,45,21,70,56,68,76,16,15,15,12,7,13,8,9,64,55,60,60,60,55,59,56,54,56,40,43,40,39,42,39,17
A. Faltsetas,Alexander Faltsetas,64,64,275000,"CM,CDM",CB,Sweden,https://cdn.sofifa.net/players/198/490/23_60.png,34,181,79,1810,371,Helsingborgs IF,2000,0,CM,2022,16,2017,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,High,50,54,63,61,66,77,63,47,64,66,55,58,63,64,60,65,53,47,51,69,64,67,83,75,76,56,80,67,59,62,54,66,64,66,68,6,9,10,9,10,62,59,60,60,60,59,62,63,64,63,64,64,64,64,64,64,17
A. Aganović,Adnan Aganović,64,64,275000,"CAM,CM",CAM,Croatia,https://cdn.sofifa.net/players/258/025/23_60.png,34,180,76,1709,356,Sepsi OSK Sf. Gheorghe,3000,371000,CM,2023,77,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/hr.png,-,-,Medium,High,58,58,67,65,43,65,65,57,60,68,54,64,67,62,65,66,62,54,66,61,70,64,66,64,62,56,73,32,64,68,52,61,38,48,43,7,5,5,14,7,63,63,63,63,63,63,64,64,64,64,57,57,57,55,53,55,16
J. Pritchard,Joe Pritchard,64,65,700000,"RM,RWB,LWB",RM,England,https://cdn.sofifa.net/players/231/145/23_60.png,25,174,66,1775,379,Accrington Stanley,2000,1300000,SUB,2023,10,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,73,61,62,66,57,60,62,60,52,63,53,65,62,60,57,63,75,72,78,59,81,63,54,64,58,66,59,57,57,64,54,64,58,59,56,8,6,9,10,11,63,64,63,63,63,64,65,65,63,65,64,62,64,63,60,63,16
Y. Baldé,Yasser Baldé,64,65,550000,CB,CB,France,https://cdn.sofifa.net/players/269/289/23_60.png,29,190,86,1343,295,Stade Lavallois Mayenne FC,1000,1000000,CB,2023,12,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,54,30,32,39,66,74,34,32,64,37,22,29,27,21,35,43,55,54,51,56,47,35,73,76,77,21,62,65,21,25,35,61,63,70,63,12,13,5,6,14,43,37,36,36,36,37,37,41,43,41,57,57,57,60,65,60,18
E. Knudtzon,Erling Knudtzon,64,64,300000,"RWB,RM",RWB,Norway,https://cdn.sofifa.net/players/182/160/23_60.png,33,178,70,1769,385,Molde FK,2000,375000,SUB,2023,14,2019,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium,83,59,57,62,57,67,61,58,54,58,58,60,47,56,49,60,83,83,74,58,80,65,43,74,67,58,63,53,61,62,56,55,57,59,57,10,10,15,9,11,64,63,62,62,62,63,63,64,61,64,64,60,64,64,60,64,18
K. Eisele,Kai Eisele,64,66,525000,GK,GK,Germany,https://cdn.sofifa.net/players/239/499/23_60.png,27,191,76,895,340,Karlsruher SC,3000,879000,SUB,2024,1,2022,-,Right,5,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,68,61,62,68,19,62,8,7,9,16,5,4,13,13,19,11,20,18,39,52,21,47,40,29,68,7,31,13,3,38,12,31,10,12,9,68,61,62,62,68,21,15,17,17,17,15,20,18,22,18,19,23,19,19,23,19,65
E. Engelhardt,Erik Engelhardt,64,67,800000,ST,ST,Germany,https://cdn.sofifa.net/players/250/763/23_60.png,24,179,78,1640,353,VfL Osnabrück,1000,1200000,SUB,2024,9,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,75,62,53,64,31,68,47,66,61,60,58,63,54,32,43,61,76,74,69,64,74,64,80,65,69,52,68,28,64,59,52,66,30,28,19,14,14,8,14,10,66,63,63,63,63,63,64,64,57,64,50,49,50,48,47,48,20
F. Twardzik,Filip Twardzik,64,64,500000,"CB,LB,LM",CB,Czech Republic,https://cdn.sofifa.net/players/205/196/23_60.png,29,186,88,1766,369,LASK Linz,6000,750000,SUB,2025,26,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/cz.png,-,-,Medium,Medium,57,56,64,60,63,69,63,51,67,65,30,60,48,55,64,61,61,54,61,56,72,67,62,63,72,61,71,62,57,68,70,49,60,65,61,9,8,13,13,16,61,60,60,60,60,60,63,63,64,63,63,64,63,63,64,63,18
S. Ibeagha,Sebastien Ibeagha,64,64,475000,CB,CB,United States,https://cdn.sofifa.net/players/232/332/23_60.png,30,188,85,1388,319,Los Angeles FC,2000,713000,SUB,2022,25,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Low,High,70,26,46,45,64,68,30,22,63,65,20,46,29,28,55,44,71,70,31,64,42,39,68,53,79,22,61,55,20,32,30,55,68,65,66,12,6,6,15,11,46,43,43,43,43,43,46,49,51,49,59,61,59,61,64,61,19
G. Marsh,George Marsh,64,72,1200000,CDM,CDM,England,https://cdn.sofifa.net/players/241/036/23_60.png,23,178,68,1717,367,AFC Wimbledon,3000,2300000,CM,2023,6,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,64,53,60,61,62,67,57,53,52,63,44,60,52,43,62,61,67,61,65,60,68,60,73,78,60,48,70,63,55,61,49,60,64,62,61,7,14,9,5,10,59,59,59,59,59,59,62,63,63,63,65,65,65,65,64,65,17
Q. Jansen,Quint Jansen,64,64,400000,CB,CB,Netherlands,https://cdn.sofifa.net/players/246/668/23_60.png,31,193,85,1437,304,Sandefjord Fotball,1000,500000,CB,2023,3,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,43,39,43,43,63,73,33,34,64,56,29,32,22,49,45,56,42,43,34,62,53,57,71,68,83,34,56,61,33,32,39,62,64,64,62,13,12,14,12,8,50,42,44,44,44,42,45,46,51,46,57,61,57,59,64,59,19
L. Terán,Luis Terán,64,66,500000,GK,GK,Venezuela,https://cdn.sofifa.net/players/254/604/23_60.png,28,175,75,978,338,Hermanos Colmenarez,500,1100000,GK,2022,40,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium,61,61,62,67,24,63,12,6,14,26,6,8,15,14,30,16,18,34,33,62,46,47,59,27,39,5,24,10,7,50,12,24,10,20,14,61,61,62,63,67,23,20,22,22,22,20,26,24,28,24,23,26,23,23,24,23,65
Valera,Germán Valera Karabinaite,64,77,1400000,"RM,LM",LM,Spain,https://cdn.sofifa.net/players/254/860/23_60.png,20,170,69,1555,331,FC Andorra,8000,0,SUB,2023,17,2019,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,81,56,60,65,26,43,63,54,42,61,48,66,54,45,59,62,77,84,75,55,81,63,58,50,40,51,36,21,61,60,64,54,27,24,23,7,12,12,8,12,60,63,62,62,62,63,64,65,58,65,50,45,50,47,37,47,17
M. Godoy,Matías Godoy,64,80,1500000,"RM,LM,RW",ST,Argentina,https://cdn.sofifa.net/players/258/700/23_60.png,20,172,68,1593,345,Club Atlético Talleres,2000,0,SUB,2022,38,2020,TRUE,Right,4,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium,73,63,55,66,29,59,62,65,59,59,50,67,58,49,46,66,74,72,64,60,67,66,58,59,66,55,41,36,64,50,68,68,20,22,28,10,6,10,10,6,66,64,63,63,63,64,63,65,57,65,52,47,52,49,43,49,16
A. Forson,Amankwah Forson,64,81,1500000,"RW,CAM,RM",LM,Ghana,https://cdn.sofifa.net/players/261/004/23_60.png,19,173,62,1581,344,SC Rheindorf Altach,4000,0,RM,2023,15,2021,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/gh.png,-,-,High,Medium,86,53,55,72,35,43,58,52,38,57,48,75,64,46,52,66,87,85,85,52,87,58,50,60,36,51,37,38,56,53,48,55,26,40,33,7,9,8,10,9,59,64,62,62,62,64,64,66,58,66,55,49,55,52,42,52,15
T. Arconte,Taïryk Arconte,64,78,1400000,"RM,ST",ST,France,https://cdn.sofifa.net/players/261/772/23_60.png,18,181,76,1592,345,Stade Brestois 29,2000,3700000,SUB,2026,11,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,73,64,57,66,28,57,61,62,57,61,63,69,46,49,56,63,74,73,69,52,67,68,57,60,65,64,35,25,62,51,60,57,23,27,25,7,9,10,15,7,65,64,63,63,63,64,64,65,58,65,50,46,50,48,42,48,16
B. Cespedes,Boris Cespedes,64,67,675000,"CDM,CM",CDM,Bolivia,https://cdn.sofifa.net/players/250/765/23_60.png,27,181,72,1694,368,Servette FC,4000,1000000,SUB,2023,5,2013,-,Right,3,2,1,-,-,-,-,Medium,Medium,68,50,57,64,60,69,49,52,46,66,33,63,43,36,64,65,67,69,68,63,66,46,74,75,68,50,64,58,58,55,54,58,61,63,62,10,9,14,12,11,59,61,60,60,60,61,63,64,64,64,65,65,65,64,64,64,18
C. Telo,Christopher Telo,64,64,400000,"LWB,LB",LWB,Sweden,https://cdn.sofifa.net/players/189/325/23_60.png,32,172,72,1699,354,IFK Norrköping,2000,500000,SUB,2023,11,2019,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,68,44,60,63,58,61,60,30,37,62,46,61,64,61,58,62,66,70,70,59,71,57,74,65,57,61,65,61,50,56,49,66,61,58,60,8,11,15,7,7,53,58,56,56,56,58,60,61,61,61,64,62,64,63,60,63,16
I. Määttä,Isak Dybvik Määttä,64,76,1300000,LB,LM,Norway,https://cdn.sofifa.net/players/256/397/23_60.png,20,188,72,1700,371,FC Groningen,2000,2100000,LB,2026,18,2022,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium,79,52,57,64,56,63,60,54,54,58,38,62,54,50,51,63,80,79,73,59,74,54,59,79,58,49,56,56,61,58,43,61,58,56,53,5,13,8,11,14,61,62,61,61,61,62,63,65,61,65,64,60,64,64,59,64,18
N. Koffi,N'Dri Philippe Koffi,64,78,1400000,ST,ST,France,https://cdn.sofifa.net/players/264/590/23_60.png,20,187,81,1530,331,FC Paços de Ferreira,5000,0,RES,2023,19,2021,TRUE,Right,2,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low,74,65,53,63,23,53,39,67,61,61,61,65,52,41,49,62,75,73,59,57,62,68,62,56,61,60,29,14,63,60,69,61,22,20,17,7,13,11,9,5,66,62,64,64,64,62,64,63,57,63,45,42,45,42,38,42,16
N. Landgraf,Niklas Landgraf,64,67,700000,"LWB,CB,CDM",LWB,Germany,https://cdn.sofifa.net/players/234/382/23_60.png,26,180,68,1690,359,Hallescher FC,1000,1100000,CDM,2025,31,2017,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,73,41,55,62,59,69,60,29,53,58,31,58,56,49,50,59,75,72,78,62,77,58,84,75,65,51,67,61,49,48,36,60,60,59,58,6,13,9,11,13,55,57,55,55,55,57,57,60,58,60,64,62,64,64,63,64,18
J. Iredale,Jack Iredale,64,67,700000,"LWB,CB,LB",CB,Australia,https://cdn.sofifa.net/players/248/718/23_60.png,26,184,70,1677,361,Bolton Wanderers,3000,1300000,LWB,2025,14,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,73,42,54,57,61,74,61,33,59,57,31,58,52,57,46,57,75,72,62,62,42,53,83,73,72,46,78,59,59,49,50,53,60,63,60,10,6,10,11,11,57,57,56,56,56,57,57,60,58,60,64,62,64,65,66,65,17
H. White,Harvey White,64,78,1300000,"CDM,CM",LM,England,https://cdn.sofifa.net/players/245/903/23_60.png,20,178,70,1842,382,Tottenham Hotspur,11000,3300000,RES,2024,42,2018,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,66,64,67,69,60,56,68,65,58,67,50,70,70,74,64,68,67,66,72,64,71,69,56,68,47,64,62,59,58,68,59,64,62,60,56,13,13,12,9,13,65,67,66,66,66,67,68,69,67,69,66,65,66,65,61,65,20
M. Kvistgaarden,Mathias Kvistgaarden,64,75,1300000,ST,ST,Denmark,https://cdn.sofifa.net/players/257/167/23_60.png,20,175,68,1724,366,Brøndby IF,3000,2000000,SUB,2025,36,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,High,81,61,50,66,40,68,45,64,58,57,60,63,46,41,43,63,82,81,81,65,85,65,72,69,59,53,87,34,65,52,53,58,32,44,45,14,9,12,11,14,66,63,64,64,64,63,63,64,58,64,56,53,56,55,53,55,20
L. Molyneux,Luke Molyneux,64,68,850000,"RW,ST,RM",LM,England,https://cdn.sofifa.net/players/235/915/23_60.png,24,180,69,1626,355,Doncaster Rovers,5000,1600000,RM,2024,7,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Low,82,60,57,65,34,57,59,58,53,58,55,63,56,49,56,64,83,82,79,58,74,59,34,75,56,65,42,30,60,58,59,61,34,31,29,5,10,13,8,11,63,64,63,63,63,64,64,66,60,66,55,50,55,52,44,52,16
M. Qasem,Mohammed Qasem,64,65,625000,LB,LM,Saudi Arabia,https://cdn.sofifa.net/players/214/923/23_60.png,27,176,74,1777,387,Al Nassr,8000,1100000,SUB,2024,18,2021,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,High,Medium,76,56,57,67,57,74,62,50,52,58,46,66,47,45,53,66,75,76,73,56,81,68,73,82,72,63,67,56,62,59,43,64,57,57,60,15,11,7,11,8,63,63,62,62,62,63,64,65,63,65,65,62,65,64,62,64,18
T. Boere,Tom Boere,64,64,575000,ST,ST,Netherlands,https://cdn.sofifa.net/players/207/499/23_60.png,29,183,78,1662,349,SC Cambuur,3000,834000,SUB,2023,9,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Low,67,65,52,59,31,75,43,63,72,59,64,58,55,57,44,59,64,69,62,58,62,71,82,73,79,60,68,18,62,54,78,59,40,20,19,12,14,9,7,7,64,59,61,61,61,59,61,60,55,60,47,47,47,46,47,46,17
J. Ertlthaler,Julius Ertlthaler,64,67,775000,"LM,CAM,CM",CAM,Austria,https://cdn.sofifa.net/players/229/513/23_60.png,25,169,62,1643,334,WSG Tirol,3000,1200000,SUB,2024,77,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,69,54,61,66,39,45,61,54,43,63,48,64,54,42,60,62,70,69,83,56,93,58,91,68,32,51,36,28,65,67,54,63,41,42,46,13,7,6,10,6,59,63,61,61,61,63,65,65,61,65,56,52,56,54,46,54,16
F. Strauss,Felix Strauss,64,74,1200000,"CB,CDM,CM",CB,Austria,https://cdn.sofifa.net/players/262/792/23_60.png,21,186,80,1603,357,SC Rheindorf Altach,2000,2000000,SUB,2024,4,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,68,40,55,59,61,74,45,33,58,63,29,58,44,37,54,62,66,70,62,63,47,62,64,73,76,38,73,61,35,60,38,58,59,63,60,7,8,14,10,11,55,54,54,54,54,54,58,59,60,59,63,65,63,64,66,64,17
A. Iacobucci,Alessandro Iacobucci,64,64,300000,GK,GK,Italy,https://cdn.sofifa.net/players/201/352/23_60.png,31,187,82,1137,360,Südtirol,750,465000,SUB,2023,22,2022,-,Right,1,1,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,63,62,64,65,44,62,15,13,12,27,14,18,16,18,38,26,44,43,47,65,43,48,66,34,55,15,34,19,11,24,23,47,20,19,14,63,62,64,62,65,30,26,27,27,27,26,29,30,30,30,29,31,29,29,29,29,64
S. Laiton,Sonny Laiton,64,76,1300000,GK,GK,France,https://cdn.sofifa.net/players/240/776/23_60.png,22,190,85,1127,359,AJ Auxerre,3000,2900000,RES,2024,30,2017,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,62,60,60,66,48,63,14,8,13,17,9,14,12,12,17,15,50,44,64,67,51,45,72,42,71,5,34,24,4,60,19,62,8,11,14,62,60,60,63,66,27,25,25,25,25,25,29,28,28,28,27,28,27,27,28,27,65
C. Straton,Cătălin Straton,64,64,300000,GK,GK,Romania,https://cdn.sofifa.net/players/247/944/23_60.png,32,191,89,1037,344,Campionii FC Arges,1000,405000,SUB,2024,1,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,60,62,61,67,31,63,12,18,13,22,16,17,18,13,27,19,31,32,26,60,33,46,54,38,48,15,31,16,11,55,14,37,15,10,14,60,62,61,63,67,28,24,27,27,27,24,30,28,30,28,25,27,25,24,25,24,64
N. Mehssatou,Nayel Mehssatou,64,75,1200000,"RB,LB",RWB,Chile,https://cdn.sofifa.net/players/262/024/23_60.png,19,162,49,1728,359,KV Kortrijk,2000,2000000,RWB,2025,25,2022,-,Right,5,3,1,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,Medium,75,46,58,69,58,53,61,38,46,62,46,68,52,51,56,66,82,69,88,56,95,52,73,66,41,57,63,58,48,51,44,53,53,65,64,10,10,11,14,12,55,61,58,58,58,61,62,63,61,63,65,61,65,64,60,64,18
A. Cortinovis,Alessandro Cortinovis,64,78,1400000,"CM,CAM",CAM,Italy,https://cdn.sofifa.net/players/268/681/23_60.png,21,180,78,1780,386,Hellas Verona,7000,0,RES,2023,72,2021,TRUE,Right,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium,75,62,64,67,55,63,59,61,55,74,51,66,57,48,62,70,73,76,66,60,72,68,60,59,66,61,62,56,60,58,60,64,57,53,54,8,13,13,11,11,66,66,65,65,65,66,68,67,66,67,64,63,64,63,61,63,18
F. Ponsi,Fabio Ponsi,64,73,1300000,LB,LB,Italy,https://cdn.sofifa.net/players/268/937/23_60.png,21,186,80,1561,340,Modena,700,2300000,SUB,2024,3,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,70,34,47,61,60,68,49,33,38,52,37,63,56,41,35,57,67,72,70,66,57,30,65,75,70,38,57,64,44,42,39,44,63,61,66,13,13,14,8,6,50,54,51,51,51,54,54,57,54,57,64,60,64,64,62,64,18
W. Jobello,Wesley Jobello,64,64,600000,"RM,LM",RM,France,https://cdn.sofifa.net/players/208/009/23_60.png,28,183,68,1611,341,AFC UTA Arad,2000,810000,SUB,2024,11,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,70,62,60,65,26,58,63,62,61,62,60,68,63,51,53,65,66,74,62,58,62,66,64,55,63,60,46,29,61,58,61,53,23,17,19,16,13,9,9,12,64,64,63,63,63,64,64,64,58,64,49,46,49,46,41,46,19
R. Tait,Richard Tait,64,64,400000,"RWB,LWB",RWB,Scotland,https://cdn.sofifa.net/players/189/833/23_60.png,32,179,77,1621,348,St. Mirren,2000,700000,LWB,2023,2,2020,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,High,65,39,55,60,59,70,62,30,53,58,31,59,42,62,58,58,64,65,68,59,60,50,55,80,69,47,62,60,51,40,45,59,59,61,59,10,16,10,11,7,53,55,53,53,53,55,55,59,58,59,64,62,64,64,62,64,18
D. Tetek,Dejan Tetek,64,76,1300000,"CDM,CM,RB",CDM,Serbia,https://cdn.sofifa.net/players/258/442/23_60.png,19,177,65,1708,361,Reading,2000,2700000,SUB,2023,16,2019,-,Right,5,2,1,-,-,-,-,Medium,High,69,46,58,61,62,65,51,43,55,63,48,56,54,50,64,62,71,67,78,57,80,57,67,76,58,42,67,63,46,54,50,54,61,65,63,11,9,7,8,5,56,57,56,56,56,57,59,61,61,61,65,65,65,65,64,65,16
M. Di Cesare,Marco Di Cesare,64,74,1200000,CB,CB,Argentina,https://cdn.sofifa.net/players/260/233/23_60.png,20,186,81,1439,307,Argentinos Juniors,2000,2000000,SUB,2024,29,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Low,Medium,59,31,41,42,67,67,34,23,66,53,33,35,34,31,40,42,55,62,43,61,62,48,71,68,72,28,54,62,36,33,38,61,67,70,67,7,11,15,10,8,47,41,42,42,42,41,43,46,48,46,59,59,59,62,66,62,17
A. Quirós,Aarón Quirós,64,77,1300000,"LB,CB",LB,Argentina,https://cdn.sofifa.net/players/261/769/23_60.png,20,174,72,1493,311,Club Atlético Banfield,2000,2700000,SUB,2023,3,2021,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,62,29,50,50,63,57,58,21,57,59,21,44,50,35,57,56,62,62,41,60,74,41,78,61,51,32,61,62,43,25,43,45,64,64,69,12,6,10,7,7,47,48,46,46,46,48,48,53,53,53,63,61,63,64,64,64,16
Y. Bakiz,Younes Bakiz,64,70,925000,LW,LM,Denmark,https://cdn.sofifa.net/players/262/538/23_60.png,23,186,76,1627,352,Aalborg BK,4000,1300000,SUB,2026,23,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,73,61,58,68,29,63,59,60,55,59,58,69,60,50,54,68,70,75,70,58,64,67,54,72,62,58,54,26,63,62,52,61,25,28,28,14,5,14,8,6,65,64,64,64,64,64,65,66,60,66,53,49,53,50,44,50,16
F. Donati,Francesco Donati,64,72,1300000,RB,RWB,Italy,https://cdn.sofifa.net/players/270/474/23_60.png,21,185,81,1655,355,Ascoli,2000,0,SUB,2023,20,2018,TRUE,Right,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,69,42,58,62,60,64,57,42,53,64,44,69,51,53,55,53,70,69,67,67,57,41,58,71,61,37,65,54,56,53,49,51,61,64,65,7,8,14,11,9,56,59,57,57,57,59,60,63,60,63,65,63,65,64,63,64,17
G. Leigh,Greg Leigh,64,65,625000,"LWB,LB",LWB,Jamaica,https://cdn.sofifa.net/players/211/594/23_60.png,27,180,73,1643,364,Ipswich Town,3000,1100000,SUB,2024,21,2022,-,Left,3,2,1,-,-,-,-,High,High,74,47,53,60,59,71,56,47,57,57,30,59,40,35,51,60,74,74,62,58,71,47,66,74,75,50,60,61,61,53,39,58,58,60,61,9,11,6,12,9,59,59,58,58,58,59,60,62,59,62,64,62,64,64,63,64,17
M. Starke,Manfred Starke,64,64,500000,"ST,CAM,CM",LM,Namibia,https://cdn.sofifa.net/players/211/850/23_60.png,31,179,81,1742,369,VfB Oldenburg,700,725000,CAM,2023,6,2022,-,Left,3,3,1,-,-,-,-,Medium,High,74,66,62,66,33,68,66,62,53,64,60,66,73,71,52,67,72,75,69,60,73,74,62,82,70,70,49,30,60,58,59,56,31,30,34,13,12,9,7,9,64,64,64,64,64,64,64,64,62,64,57,52,57,54,47,54,18
J. Wilson,James Wilson,64,65,700000,ST,ST,England,https://cdn.sofifa.net/players/213/642/23_60.png,26,183,73,1618,345,Port Vale,3000,1300000,SUB,2023,9,2021,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,72,64,55,62,26,66,53,64,63,56,58,60,59,42,52,61,69,74,69,59,70,68,59,77,74,61,34,24,64,59,61,63,20,22,24,9,15,14,8,16,65,62,62,62,62,62,63,63,58,63,50,46,50,47,42,47,19
E. O'Connell,Eoghan O'Connell,64,66,650000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/221/322/23_60.png,26,191,80,1578,347,Charlton Athletic,3000,1200000,CB,2025,6,2022,-,Right,4,2,1,-,-,-,-,High,Medium,61,41,49,55,61,80,27,33,62,57,29,52,30,32,58,57,58,64,61,58,38,56,75,82,81,48,76,61,46,58,36,62,61,62,61,13,11,15,12,8,54,50,52,52,52,50,56,55,59,55,60,64,60,61,66,61,18
M. Ahlinvi,Mattéo Ahlinvi,64,69,825000,"CDM,CM",CAM,Benin,https://cdn.sofifa.net/players/240/528/23_60.png,22,183,68,1729,373,Dijon FCO,2000,1500000,SUB,2024,6,2021,-,Left,3,3,1,-,-,-,-,Medium,High,63,55,61,68,58,68,51,55,47,70,43,69,58,48,58,67,65,61,72,63,69,59,63,72,66,52,70,59,57,60,53,67,56,64,58,14,10,8,5,7,61,62,62,62,62,62,66,65,66,65,64,65,64,63,63,63,17
N. Kenneh,Nohan Kenneh,64,74,1200000,"CDM,CB",CDM,England,https://cdn.sofifa.net/players/255/120/23_60.png,19,190,76,1658,359,Hibernian,1000,2300000,CDM,2025,6,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,High,58,51,58,59,61,72,56,50,56,63,48,57,49,38,59,63,58,58,57,56,54,58,72,78,70,48,69,62,49,60,49,57,58,64,63,7,5,13,5,6,58,57,57,57,57,57,60,61,62,61,64,65,64,64,65,64,14
N. Mosti,Nicola Mosti,64,70,925000,CAM,CAM,Italy,https://cdn.sofifa.net/players/257/768/23_60.png,24,177,73,1568,337,Modena,950,1600000,SUB,2024,8,2022,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,62,52,63,66,42,52,58,62,42,68,38,65,55,39,63,68,62,62,71,60,73,50,57,58,51,35,45,33,66,68,39,61,41,49,39,6,14,12,10,9,60,63,63,63,63,63,66,66,64,66,56,55,56,53,49,53,17
R. Saravia,Rodrigo Saravia,64,73,1200000,"CDM,CM",CB,Uruguay,https://cdn.sofifa.net/players/267/409/23_60.png,21,173,72,1670,356,Club Atlético Peñarol,500,2800000,SUB,2023,6,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,67,48,53,53,64,71,43,41,58,56,48,49,40,47,60,56,65,68,53,63,69,70,55,77,71,41,69,66,57,56,42,46,58,69,65,15,9,14,9,11,58,53,55,55,55,53,57,58,60,58,63,65,63,64,66,64,19
